Index;Title;HtmlCode
56;"Camminerò";"<p class=""nome-canto"">56 Camminerò</p><p class=""canto-ritornello"">Camminerò, camminerò, nella tua strada Signor.</br>Dammi la mano, voglio restar per sempre insieme a Te.</p><p class=""canto-testo"">1. Quando ero solo, solo e stanco del mondo,</br>quando non c'era l'amor.</br>Tante persone vidi intorno a me,</br>sentivo cantare così.</p><p class=""canto-ritornello"">Camminerò, camminerò, nella tua strada Signor.</br>Dammi la mano, voglio restar per sempre insieme a Te.</p><p class=""canto-testo"">2. Io non capivo, ma rimasi a sentire,</br>quando il Signor mi parlò.</br>Lui mi chiamava, chiamava anche me,</br>e la mia risposta si alzò.</p><p class=""canto-ritornello"">Camminerò, camminerò, nella tua strada Signor.</br>Dammi la mano, voglio restar per sempre insieme a Te.</p><p class=""canto-testo"">3. Or non mi importa se uno ride di me,</br>lui certamente non sa,</br>del gran regalo che ebbi quel dì,</br>che dissi al Signore così.</p><p class=""canto-ritornello"">Camminerò, camminerò, nella tua strada Signor.</br>Dammi la mano, voglio restar per sempre insieme a Te.</p><p class=""canto-testo"">4. A volte son triste, ma mi guardo intorno,</br>scopro il mondo e l'amor.</br>Son questi i doni che Lui fa a me,</br>felice ritorno a cantar.</p><p class=""canto-ritornello"">Camminerò, camminerò, nella tua strada Signor.</br>Dammi la mano, voglio restar per sempre insieme a Te.</p>"
57;"Canoni di Taizé";"<p class=""nome-canto"">57 Canoni di Taizé</p><p class=""canto-testo""><p class=""""canto-taize"""">Adoramus Te Christe</p></br>Adoramus Te Christe, benedicimus tibi,</br>quia per crucem tuam, redemisti mundum,</br>quia per crucem tuam, redemisti mundum.</p><p class=""canto-testo""><p class=""""canto-taize"""">Adoramus Te, Domine</p></br>Oh. Oh. Oh. Adoremus Te, Domine.</p><p class=""canto-testo""><p class=""""canto-taize"""">Adoremus Dominum</p></br>Adoremus Dominum,</br>in aeternum, quoniam bonus.</p><p class=""canto-testo""><p class=""""canto-taize"""">Bless The Lord</p></br>Bless the Lord, my soul. And bless His holy name.</br>Bless the Lord, my soul. Who leads me into life.</p><p class=""canto-testo""><p class=""""canto-taize"""">Bonum est confidere</p></br>Bonum est confidere in Domino, bonum sperare in Domino.</br>Bonum est confidere in Domino, bonum sperare in Domino.</p><p class=""canto-testo""><p class=""""canto-taize"""">Christe Lux Mundi</p></br>Christe Lux Mundi qui seguitur Te</br>habebit lumen vitae, lumen vitae.</p><p class=""canto-testo""><p class=""""canto-taize"""">Crucem Tuam</p></br>Crucem tuam adoramus Domine.</br>Resurrectionem tuam laudamus Domine.</br>Laudamus et glorificamus.</br>Resurrectionem tuam laudamus Domine.</p><p class=""canto-testo""><p class=""""canto-taize"""">Da pacem Domine</p></br>Da pacem Domine,</br>da pacem o Christe</br>in diebus nostris.</p><p class=""canto-testo""><p class=""""canto-taize"""">Davanti al Re</p></br>Davanti al Re, ci inchiniamo insieme,</br>per adorarlo con tutto il cuor.</br>Verso di Lui, eleviamo insieme</br>canti di gloria al nostro Re dei re.</p><p class=""canto-testo""><p class=""""canto-taize"""">Dominus Spiritus est</p></br>Dominus spiritus est.</br>Spiritus autem vivificat.</br>Spiritus autem vivificat.</p><p class=""canto-testo""><p class=""""canto-taize"""">Dona la pace</p></br>Dona la pace Signore a chi confida in Te.</br>Dona, dona la pace Signore, dona la pace.</p><p class=""canto-testo""><p class=""""canto-taize"""">Gloria in excelsis Deo</p></br>Gloria, gloria in excelsis Deo.</br>Gloria, gloria, alleluia.</br>Et in terra pax hominibus</br>bonae voluntatis.</p><p class=""canto-testo""><p class=""""canto-taize"""">Il Signore è la mia forza</p></br>Il Signore è la mia forza</br>mio canto è il Signor.</br>Egli è il Salvator.</br>In Lui confido non ho timor.</br>In Lui confido non ho timor.</p><p class=""canto-testo""><p class=""""canto-taize"""">In manus tuas</p></br>In manus tuas, Pater, commendo spiritum meum.</br>In manus tuas, Pater, commendo spiritum meum.</p><p class=""canto-testo""><p class=""""canto-taize"""">Jesus remember me</p></br>Jesus remember me when you come into your kingdom.</br>Jesus remember me when you come into your kingdom.</p><p class=""canto-testo""><p class=""""canto-taize"""">Jubilate Coeli</p></br>Jubilate coeli, jubilate mundi.</br>Jesus Christus surrexit vere.</p><p class=""canto-testo""><p class=""""canto-taize"""">Jubilate Deo</p></br>Jubilate Deo omnis terra.</br>Servite Domino in laetitia.</br>Alleluia, alleluia, in laetitia.</br>Alleluia, alleluia, in laetitia.</br></br><p class=""""canto-taize"""">Laudate Dominum</p></br>Laudate Dominum, laudate Dominum.</br>Omnes gentes, alleluia.</p><p class=""canto-testo""><p class=""""canto-taize"""">Laudate omnes gentes</p></br>Laudate omnes gentes, laudate Dominum.</br>Laudate omnes gentes, laudate Dominum.</p><p class=""canto-testo""><p class=""""canto-taize"""">Magnificat</p></br>Magnificat, magnificat,</br>magnificat anima mea Dominum.</br>Magnificat, magnificat,</br>magnificat anima mea.</p><p class=""canto-testo""><p class=""""canto-taize"""">Misericordias Domini</p></br>Misericordias Domini in aeternum cantabo.</p><p class=""canto-testo""><p class=""""canto-taize"""">Nada te turbe</p></br>Nada te turbe, nada te espante,</br>quien a Dios tiene nada le falta.</br>Nada te turbe, nada te espante,</br>solo Dios basta.</p><p class=""canto-testo""><p class=""""canto-taize"""">O Christe, Domine Jesu</p></br>O Christe, Domine Jesu.</br>O Christe, Domine Jesu.</p><p class=""canto-testo""><p class=""""canto-taize"""">Per crucem</p></br>1. Per crucem et passionem tuam.</br>Libera nos, Domine, libera nos, Domine,</br>libera nos, Domine, Domine. (2 volte)</p><p class=""canto-testo"">2. Per sanctam resurrectionem tuam.</br>Libera nos, Domine, libera nos, Domine,</br>libera nos, Domine, Domine.</p><p class=""canto-testo""><p class=""""canto-taize"""">Sanctum nomen Domini</p></br>Sanctum nomen Domini magnificat anima mea.</br>Sanctum nomen Domini magnificat anima mea.</br></br><p class=""""canto-taize"""">State qui</p></br>State qui, vegliate con Me,</br>vegliate e pregate.</br>Vegliate e pregate.</p><p class=""canto-testo""><p class=""""canto-taize"""">Surrexit Christus</p></br>Oh, oh, oh, oh. Surrexit Christus, alleluia!</br>Oh, oh, oh, oh. Cantate domino, Alleluia!</p><p class=""canto-testo""><p class=""""canto-taize"""">Tu sei lampada</p></br>Tu sei lampada, luce ai nostri passi;</br>Gesù guidaci, Tu nel cammino.</p><p class=""canto-testo""><p class=""""canto-taize"""">Ubi caritas et amor</p></br>Ubi caritas et amor.</br>Ubi caritas Deus ibi est.</p><p class=""canto-testo""><p class=""""canto-taize"""">Venite exuletemus Domino</p></br>Venite exuletemus Domino.</br>Venite, adoremus.</br>Venite exuletemus Domino.</br>Venite, adoremus.</p><p class=""canto-testo""><p class=""""canto-taize"""">Vieni Spirito creatore</p></br>Vieni Spirito creatore, vieni, vieni;</br>vieni Spirito creatore, vieni, vieni.</p>"
58;"Cantano gli angeli";"<p class=""nome-canto"">58 Cantano gli angeli</p><p class=""canto-testo"">1. Cantano gli angeli: 'Gloria al Signore,</br>pace in terra agli uomini!'</br>Nasce per noi Cristo Signore,</br>dono di Dio agli uomini.</p><p class=""canto-ritornello"">Tutti cantiamo: 'Alleluia!'</br>Al figlio di Dio: 'Alleluia!'</p><p class=""canto-testo"">2. Cristo Signore, noi ti accogliamo,</br>come fratello che viene a noi.</br>Figlio di Dio noi ti adoriamo,</br>resta per sempre in mezzo a noi.</p><p class=""canto-ritornello"">Tutti cantiamo: 'Alleluia!'</br>Al figlio di Dio: 'Alleluia!'</p><p class=""canto-testo"">3. Cristo amore, luce da luce,</br>splenda nel mondo la verità!</br>Tu sei la via che ci conduce</br>verso la patria, l'eternità.</p><p class=""canto-ritornello"">Tutti cantiamo: 'Alleluia!'</br>Al figlio di Dio: 'Alleluia!'</p>"
59;"Cantate al Signore, alleluia";"<p class=""nome-canto"">59 Cantate al Signore, alleluia</p><p class=""canto-ritornello"">Cantate al Signore, alleluia.</br>Benedite il suo nome, alleluia.</br>Cantate al Signore, alleluia.</br>Con inni di lode, alleluia.</p><p class=""canto-testo"">1. Cantate al Signore un canto nuovo,</br>da tutta la terra cantate a Lui.</br>Benedite per sempre il suo nome,</br>narrate alle genti la sua gloria.</p><p class=""canto-ritornello"">Cantate al Signore, alleluia.</br>Benedite il suo nome, alleluia.</br>Cantate al Signore, alleluia.</br>Con inni di lode, alleluia.</p><p class=""canto-testo"">2. Dio regna glorioso sulla terra,</br>terribile e degno di ogni lode.</br>Date a Lui la gloria del suo nome,</br>prostratevi alla sua maestà.</p><p class=""canto-ritornello"">Cantate al Signore, alleluia.</br>Benedite il suo nome, alleluia.</br>Cantate al Signore, alleluia.</br>Con inni di lode, alleluia.</p><p class=""canto-testo"">3. Gioiscano i cieli e la terra,</br>davanti al Signore che viene.</br>Egli giudica il mondo con giustizia</br>e con verità tutte le genti.</p><p class=""canto-ritornello"">Cantate al Signore, alleluia.</br>Benedite il suo nome, alleluia.</br>Cantate al Signore, alleluia.</br>Con inni di lode, alleluia.</p>"
60;"Cantate al Signore un canto nuovo";"<p class=""nome-canto"">60 Cantate al Signore un canto nuovo</p><p class=""canto-ritornello"">Cantate al Signore un canto nuovo,</br>perché ha compiuto prodigi.</br>Ha manifestato la sua salvezza,</br>su tutti i popoli la sua bontà.</p><p class=""canto-testo"">1. Egli si è ricordato della sua fedeltà;</br>i confini della terra</br>hanno veduto la salvezza del Signor.</p><p class=""canto-ritornello"">Cantate al Signore un canto nuovo,</br>perché ha compiuto prodigi.</br>Ha manifestato la sua salvezza,</br>su tutti i popoli la sua bontà.</p><p class=""canto-testo"">2. Esultiamo di gioia, acclamiamo al Signor:</br>con un suono melodioso</br>cantiamo insieme: 'Lode e gloria al nostro re'.</p><p class=""canto-ritornello"">Cantate al Signore un canto nuovo,</br>perché ha compiuto prodigi.</br>Ha manifestato la sua salvezza,</br>su tutti i popoli la sua bontà.</p><p class=""canto-testo"">3. Frema il mare e la terra: il Signore verrà;</br>un giudizio di giustizia</br>con rettitudine nel mondo porterà.</p><p class=""canto-ritornello"">Cantate al Signore un canto nuovo,</br>perché ha compiuto prodigi.</br>Ha manifestato la sua salvezza,</br>su tutti i popoli la sua bontà.</p>"
61;"Cantiamo insieme al Signore";"<p class=""nome-canto"">61 Cantiamo insieme al Signore</p><p class=""canto-testo"">1. Ti esalterò per sempre Signore perché mi hai liberato.</br>A Te ho gridato e mi hai guarito, mi hai dato la vita Signore.</br>Cantate inni al Signore, rendete grazie a Lui,</br>Perché la sua collera dura un istante, per sempre la sua bontà.</p><p class=""canto-ritornello"">Cantiamo insieme al Signor, lode a Te.</br>Gridiamo forte a Lui: santo Tu sei.</br>Cantiamo insieme al Signor: lode a Te,</br>Gridiamo forte a Lui: santo Tu sei.</br>Lode gloria a Dio, lode gloria a Lui.</br>Lode gloria a Dio, lode gloria a Lui.</p><p class=""canto-testo"">2. Signore vieni in mio aiuto, ascolta la mia preghiera.</br>La sera sopraggiunge il pianto, ma ecco al mattino la gioia.</br>Tu hai cambiato il mio lamento in gioia ed esultanza</br>perché io possa cantare al Signore per sempre la tua bontà.</p><p class=""canto-ritornello"">Cantiamo insieme al Signor, lode a Te.</br>Gridiamo forte a Lui: santo Tu sei.</br>Cantiamo insieme al Signor: lode a Te,</br>Gridiamo forte a Lui: santo Tu sei.</br>Lode gloria a Dio, lode gloria a Lui.</br>Lode gloria a Dio, lode gloria a Lui.</p><p class=""canto-ritornello"">Lode gloria a Dio, lode gloria a Lui.</br>Lode gloria a Dio, lode gloria a Lui. (3 volte)</p><p class=""canto-ritornello"">Cantiamo insieme a Dio, cantiamo insieme a Dio</br>lode al Signor.</br>Gridiamo forte a Lui: santo Tu sei.</br>Cantiamo insieme a Dio: lode al Signor,</br>Gridiamo forte a Lui: santo Tu sei.</br>Lode gloria a Dio, lode gloria a Lui.</br>Lode gloria a Dio, lode gloria a Lui.</p><p class=""canto-ritornello"">Lode gloria a Dio, lode gloria a Lui.</br>Lode gloria a Dio, lode gloria a Lui.</p><p class=""canto-ritornello"">Cantiamo insieme a Dio lode al Signor.</p>"
62;"Cantiamo Te";"<p class=""nome-canto"">62 Cantiamo Te</p><p class=""canto-testo"">1. Cantiamo Te, Signore della vita.</br>Il nome tuo è grande sulla terra,</br>tutto parla di Te e canta la tua gloria.</br>Grande Tu sei e compi meraviglie, Tu sei Dio.</p><p class=""canto-testo"">2. Cantiamo Te, Signore Gesù Cristo.</br>Figlio di Dio venuto sulla terra,</br>fatto uomo per noi nel grembo di Maria.</br>Dolce Gesù, risorto dalla morte, sei con noi.</p><p class=""canto-testo"">3. Cantiamo Te, amore senza fine.</br>Tu che sei Dio, lo Spirito del Padre,</br>vivi dentro di noi e guida i nostri passi.</br>Accendi in noi il fuoco dell'eterna carità.</p>"
63;"Cantico dei redenti";"<p class=""nome-canto"">63 Cantico dei redenti</p><p class=""canto-testo"">1. Ti lodo, Signore, perché</br>un giorno eri lontano da me;</br>ora invece sei tornato</br>e mi hai preso con Te.</p><p class=""canto-ritornello"">Il Signore è la mia salvezza</br>e con Lui non temo più:</br>perché ho nel cuore la certezza</br>la salvezza è qui con me.</p><p class=""canto-testo"">2. Berrete con gioia alle fonti,</br>alle fonti della salvezza;</br>e quel giorno voi direte:</br>'Lodate il Signore, invocate il suo nome'.</p><p class=""canto-ritornello"">Il Signore è la mia salvezza</br>e con Lui non temo più:</br>perché ho nel cuore la certezza</br>la salvezza è qui con me.</p><p class=""canto-testo"">3. Fate conoscere ai popoli</br>tutto quello che Lui ha compiuto;</br>e ricordino per sempre,</br>ricordino sempre che il suo nome è grande.</p><p class=""canto-ritornello"">Il Signore è la mia salvezza</br>e con Lui non temo più:</br>perché ho nel cuore la certezza</br>la salvezza è qui con me.</p><p class=""canto-testo"">4. Cantate a chi ha fatto grandezze,</br>e sia fatto sapere nel mondo:</br>grida forte la tua gioia,</br>abitante di Sion, perché grande è con te il Signore.</p><p class=""canto-ritornello"">Il Signore è la mia salvezza</br>e con Lui non temo più:</br>perché ho nel cuore la certezza</br>la salvezza è qui con me.</p>"
64;"Canto del cammino";"<p class=""nome-canto"">64 Canto del cammino</p><p class=""canto-ritornello"">Suona, canta, loda il Signore,</br>però continua a camminare!</br>Perché il Signore è padre del cammino,</br>il nostro Dio è sempre avanti a noi.</br>Suona, canta, loda il Signore,</br>ma non fermare il passo mai,</br>perché la strada che giunge fino al cielo </br>è camminare nella verità.</p><p class=""canto-testo"">1. Ha chiamato Abramo a uscire dalla terra, </br>verso strade nuove ha spinto i passi suoi.</br>Un patto d'Alleanza ha scritto nel suo cuore: </br>'Dio che dà la vita' si è rivelato a lui.</p><p class=""canto-ritornello"">Suona, canta, loda il Signore,</br>però continua a camminare!</br>Perché il Signore è padre del cammino,</br>il nostro Dio è sempre avanti a noi.</br>Suona, canta, loda il Signore,</br>ma non fermare il passo mai,</br>perché la strada che giunge fino al cielo </br>è camminare nella verità.</p><p class=""canto-testo"">2. Ha condotto fuori Israele dall'Egitto,</br>nel deserto a lungo ha parlato a lui.</br>Quarant'anni di cammino guidati dalla nube</br>fino alla terra della libertà.</p><p class=""canto-ritornello"">Suona, canta, loda il Signore,</br>però continua a camminare!</br>Perché il Signore è padre del cammino,</br>il nostro Dio è sempre avanti a noi.</br>Suona, canta, loda il Signore,</br>ma non fermare il passo mai,</br>perché la strada che giunge fino al cielo </br>è camminare nella verità.</p><p class=""canto-testo"">3. La promessa antica si compie con Gesù,</br>Via che porta al Padre, vita e verità.</br>Dalla Galilea al Calvario pellegrino accanto a noi</br>guida e buon pastore per l'eternità.</p><p class=""canto-ritornello"">Suona, canta, loda il Signore,</br>però continua a camminare!</br>Perché il Signore è padre del cammino,</br>il nostro Dio è sempre avanti a noi.</br>Suona, canta, loda il Signore,</br>ma non fermare il passo mai,</br>perché la strada che giunge fino al cielo </br>è camminare nella verità.</p><p class=""canto-testo"">4. Oggi ancora chiama la voce di Gesù:</br>nell'amore andiamo verso il regno suo.</br>Con fede sempre nuova e l'entusiasmo di chi sa</br>che non siamo soli: Cristo è avanti a noi!</p><p class=""canto-ritornello"">Suona, canta, loda il Signore,</br>però continua a camminare!</br>Perché il Signore è padre del cammino,</br>il nostro Dio è sempre avanti a noi.</br>Suona, canta, loda il Signore,</br>ma non fermare il passo mai,</br>perché la strada che giunge fino al cielo </br>è camminare nella verità.</p>"
65;"Canto la tua gloria";"<p class=""nome-canto"">65 Canto la tua gloria</p><p class=""canto-testo"">Canto la tua gloria, Dio della vita, cantano i secoli per Te.</br>Canto la tua gloria, Dio dell'amore, Signore della verità!</p><p class=""canto-testo"">Mai cesserò di cantare per Te e canterò la tua bontà.</br>La tua pazienza di Padre che vede e comprende,</br>e la tua forza che mi sostiene.</p><p class=""canto-testo"">Alleluia! Alleluia! Alleluia!</br>Alleluia! Alleluia! Alleluia!</p>"
66;"Canzone della speranza";"<p class=""nome-canto"">66 Canzone della speranza</p><p class=""canto-testo"">1. Canto di pace, di serenità,</br>di chi ha fiducia nella sua bontà.</br>Per la promessa che non morirà</br>crediamo in Cristo vivo,</br>che cammina ogni momento accanto a noi</br>e che perdona chi vive col cuore in umiltà.</p><p class=""canto-testo"">2. Canto di gioia, di felicità</br>di chi ha scoperto nella sua bontà,</br>una sorgente che non morirà:</br>sorgente di speranza,</br>nel mistero della vita vivo in Lui.</p><p class=""canto-ritornello"">E non è più la fantasia</br>che ci porta a sognare,</br>che ci porta a sperare,</br>nella vita del cielo,</br>dono per l'eternità.</p><p class=""canto-ritornello"">Vieni a cantare la gioia di credere.</br>Vieni a scoprire che la resurrezione</br>è la speranza che ci rende liberi,</br>è la certezza di chi non muore mai.</p><p class=""canto-testo"">3. Canto di festa dell'umanità,</br>per la salvezza nella sua bontà;</br>festa di un mondo che non morirà:</br>un mondo di speranza,</br>nel mistero della vita vivo in Lui.</p><p class=""canto-ritornello"">Vieni a cantare la gioia di credere.</br>Vieni a scoprire che la resurrezione</br>è la speranza che ci rende liberi,</br>è la certezza di chi non muore mai.</p>"
67;"Chi ci separerà";"<p class=""nome-canto"">67 Chi ci separerà</p><p class=""canto-testo"">1. Chi ci separerà dal suo amore?</br>La tribolazione, forse la spada?</br>Né morte o vita ci separerà,</br>dall'amore in Cristo Signore.</p><p class=""canto-testo"">2. Chi ci separerà dalla sua pace?</br>La persecuzione, forse il dolore?</br>Nessun potere ci separerà,</br>da Colui che è morto per noi.</p><p class=""canto-testo"">3. Chi ci separerà dalla sua gioia?</br>Chi potrà strapparci il suo perdono?</br>Nessuno al mondo ci allontanerà,</br>dalla vita in Cristo Signore.</p>"
68;"Chi mi seguirà";"<p class=""nome-canto"">68 Chi mi seguirà</p><p class=""canto-testo"">1. Chi mi seguirà nel cammino della Pasqua?</br>Chi mi seguirà sulla strada del regno del Padre mio?</br>Chi verrà con Me, sarà tra i miei amici:</br>con lui Io farò la mia Pasqua.</p><p class=""canto-ritornello"">Noi ti seguiremo Signore.</br>Sulla tua parola guida i nostri passi, Signore.</br>Con la tua parola noi verremo con Te.</p><p class=""canto-testo"">2. Chi mi seguirà nel cammino della croce?</br>Chi mi seguirà sulla via della gloria del Padre mio?</br>Chi verrà con Me, sarà tra i miei discepoli:</br>con lui Io farò la mia Pasqua.</p><p class=""canto-ritornello"">Noi ti seguiremo Signore.</br>Sulla tua parola guida i nostri passi, Signore.</br>Con la tua parola noi verremo con Te.</p><p class=""canto-testo"">3. Chi mi seguirà nel cammino della vita?</br>Chi mi seguirà sul sentiero della casa del Padre mio?</br>Chi verrà con Me, sarà tra i miei fratelli:</br>con lui Io farò la mia Pasqua.</p><p class=""canto-ritornello"">Noi ti seguiremo Signore.</br>Sulla tua parola guida i nostri passi, Signore.</br>Con la tua parola noi verremo con Te.</p>"
69;"Chiesa di Dio";"<p class=""nome-canto"">69 Chiesa di Dio</p><p class=""canto-ritornello"">Chiesa di Dio, popolo in festa,</br>alleluia, alleluja!</br>Chiesa di Dio, popolo in festa,</br>canta di gioia, il Signore è con te.</p><p class=""canto-testo"">1. Dio ti ha scelto, Dio ti chiama, nel suo amore ti vuole con sé:</br>spargi nel mondo il suo Vangelo, seme di pace e di bontà.</p><p class=""canto-ritornello"">Chiesa di Dio, popolo in festa,</br>alleluia, alleluja!</br>Chiesa di Dio, popolo in festa,</br>canta di gioia, il Signore è con te.</p><p class=""canto-testo"">2. Dio ti guida come un padre: tu ritrovi la vita con Lui.</br>Rendigli grazie, sii fedele finché il regno ti aprirà.</p><p class=""canto-ritornello"">Chiesa di Dio, popolo in festa,</br>alleluia, alleluja!</br>Chiesa di Dio, popolo in festa,</br>canta di gioia, il Signore è con te.</p><p class=""canto-testo"">3. Dio ti nutre col suo cibo, nel deserto rimane con te.</br>Ora non chiudere il tuo cuore: spezza il tuo pane a chi non ha.</p><p class=""canto-ritornello"">Chiesa di Dio, popolo in festa,</br>alleluia, alleluja!</br>Chiesa di Dio, popolo in festa,</br>canta di gioia, il Signore è con te.</p><p class=""canto-testo"">4. Dio mantiene la promessa: in Gesù Cristo si trasformerà.</br>Porta ogni giorno la preghiera di chi speranza non ha più.</p><p class=""canto-ritornello"">Chiesa di Dio, popolo in festa,</br>alleluia, alleluja!</br>Chiesa di Dio, popolo in festa,</br>canta di gioia, il Signore è con te.</p><p class=""canto-testo"">5. Chiesa, che vivi nella storia, sei testimone di Cristo quaggiù:</br>apri le porte ad ogni uomo, salva la vera libertà.</p><p class=""canto-ritornello"">Chiesa di Dio, popolo in festa,</br>alleluia, alleluja!</br>Chiesa di Dio, popolo in festa,</br>canta di gioia, il Signore è con te.</p>"
70;"Cieli e terra nuova";"<p class=""nome-canto"">70 Cieli e terra nuova</p><p class=""canto-ritornello"">Cieli e terra nuova il Signor darà,</br>in cui la giustizia sempre abiterà.</p><p class=""canto-testo"">1. Tu sei Figlio di Dio e dai la libertà;</br>il tuo giudizio finale sarà la carità.</p><p class=""canto-ritornello"">Cieli e terra nuova il Signor darà,</br>in cui la giustizia sempre abiterà.</p><p class=""canto-testo"">2. Vinta sarà la morte: in Cristo risorgerem,</br>e nella gloria di Dio per sempre noi vivrem.</p><p class=""canto-ritornello"">Cieli e terra nuova il Signor darà,</br>in cui la giustizia sempre abiterà.</p><p class=""canto-testo"">3. Il suo è regno di vita, di amore e di verità,</br>di pace e di giustizia, di gloria e santità.</p><p class=""canto-ritornello"">Cieli e terra nuova il Signor darà,</br>in cui la giustizia sempre abiterà.</p>"
71;"Cielo nuovo";"<p class=""nome-canto"">71 Cielo nuovo</p><p class=""canto-ritornello"">Cielo nuovo è la tua parola.</br>Nuova terra la tua carità;</br>agnello immolato e vittorioso:</br>Cristo Gesù, Signore che rinnovi l'universo.</p><p class=""canto-testo"">1. Destati dal sonno che ti opprime,</br>apri gli occhi sulla povertà.</br>Chiesa a cui lo Spirito ripete:</br>ti ho sposata nella fedeltà.</p><p class=""canto-ritornello"">Cielo nuovo è la tua parola.</br>Nuova terra la tua carità;</br>agnello immolato e vittorioso:</br>Cristo Gesù, Signore che rinnovi l'universo.</p><p class=""canto-testo"">2. Voltati e guarda la mia voce,</br>nessun uomo dice verità.</br>Vedi che germoglia proprio adesso,</br>questa luce nell'oscurità.</p><p class=""canto-ritornello"">Cielo nuovo è la tua parola.</br>Nuova terra la tua carità;</br>agnello immolato e vittorioso:</br>Cristo Gesù, Signore che rinnovi l'universo.</p><p class=""canto-testo"">3. Apri gli orizzonti del tuo cuore,</br>al vangelo della carità.</br>Sciolti sono i vincoli di morte:</br>Io farò di te la mia città.</p><p class=""canto-ritornello"">Cielo nuovo è la tua parola.</br>Nuova terra la tua carità;</br>agnello immolato e vittorioso:</br>Cristo Gesù, Signore che rinnovi l'universo.</p><p class=""canto-testo"">4. Lascia la dimora di tuo padre,</br>corri incontro all'umanità.</br>Fascia le ferite degli oppressi:</br>la tua vesta splendida sarà.</p><p class=""canto-ritornello"">Cielo nuovo è la tua parola.</br>Nuova terra la tua carità;</br>agnello immolato e vittorioso:</br>Cristo Gesù, Signore che rinnovi l'universo.</p><p class=""canto-testo"">5. Resta nell'amore del tuo Sposo,</br>la mia forza non ti lascerà!</br>Noi faremo insieme un mondo nuovo:</br>ciò che muore presto rivivrà.</p><p class=""canto-ritornello"">Cielo nuovo è la tua parola.</br>Nuova terra la tua carità;</br>agnello immolato e vittorioso:</br>Cristo Gesù, Signore che rinnovi l'universo.</p>"
72;"Com'è bello";"<p class=""nome-canto"">72 Com'è bello</p><p class=""canto-ritornello"">Com'è bello, Signore, stare insieme,</br>ed amarci come ami Tu: qui c'è Dio, alleluia!</p><p class=""canto-testo"">1. La carità è paziente, la carità è benigna,</br>comprende, non si adira e non dispera mai.</p><p class=""canto-ritornello"">Com'è bello, Signore, stare insieme,</br>ed amarci come ami Tu: qui c'è Dio, alleluia!</p><p class=""canto-testo"">2. La carità perdona, la carità si adatta,</br>si dona senza sosta, con gioia ed umiltà.</p><p class=""canto-ritornello"">Com'è bello, Signore, stare insieme,</br>ed amarci come ami Tu: qui c'è Dio, alleluia!</p><p class=""canto-testo"">3. La carità è la legge, la carità è la vita,</br>abbraccia tutto il mondo e in ciel si compirà.</p><p class=""canto-ritornello"">Com'è bello, Signore, stare insieme,</br>ed amarci come ami Tu: qui c'è Dio, alleluia!</p><p class=""canto-testo"">4. Il pane che mangiamo, il Corpo del Signore,</br>di carità è sorgente e centro di unità.</p><p class=""canto-ritornello"">Com'è bello, Signore, stare insieme,</br>ed amarci come ami Tu: qui c'è Dio, alleluia!</p>"
73;"Come canto d'amore";"<p class=""nome-canto"">73 Come canto d'amore</p><p class=""canto-testo"">1. Con il mio canto, dolce Signore,</br>voglio danzare questa mia gioia,</br>voglio destare tutte le cose,</br>un mondo nuovo voglio cantare.</br>Con il mio canto, dolce Signore,</br>voglio riempire lunghi silenzi,</br>voglio abitare sguardi di pace,</br>il tuo perdono voglio cantare.</p><p class=""canto-ritornello"">Tu sei per me come un canto d'amore:</br>resta con noi fino al nuovo mattino.</p><p class=""canto-testo"">2. Con il mio canto, dolce Signore,</br>voglio plasmare gesti d'amore,</br>voglio arrivare oltre la morte,</br>la tua speranza voglio cantare.</br>Con il mio canto, dolce Signore,</br>voglio gettare semi di luce,</br>voglio sognare cose mai viste,</br>la tua bellezza voglio cantare.</p><p class=""canto-ritornello"">Tu sei per me come un canto d'amore:</br>resta con noi fino al nuovo mattino.</p><p class=""canto-testo""><em>(Recitativo:)</em></br>Se Tu mi ascolti, dolce Signore,</br>questo mio canto sarà una vita</br>e sarà bello vivere insieme,</br>finché la vita un canto sarà.</p><p class=""canto-ritornello"">Tu sei per me come un canto d'amore:</br>resta con noi fino al nuovo mattino.</p>"
74;"Come è grande";"<p class=""nome-canto"">74 Come è grande</p><p class=""canto-testo"">1. Come è grande la tua bontà,</br>che conservi per chi ti teme!</br>E fai grandi cose, per chi ha rifugio in Te;</br>e fai grandi cose per chi ama solo Te.</p><p class=""canto-testo"">2. Come un vento silenzioso,</br>ci hai raccolti dai monti e dal mare.</br>Come un'alba nuova sei venuto a me:</br>la forza del tuo braccio, mi ha voluto qui con Te.</p><p class=""canto-testo"">3. Come è chiara l'acqua alla tua fonte,</br>per chi ha sete ed è stanco di cercare,</br>sicuro ha ritrovato i segni del tuo amore,</br>che si erano perduti nell'ora del dolore.</p><p class=""canto-testo"">4. Come un fiore nato tra le pietre,</br>va a cercare il cielo su di lui,</br>così la tua grazia, il tuo spirito per noi</br>nasce per vedere il mondo che Tu vuoi.</p>"
