Index;Title;HtmlCode
11;"Addio di Gesù";"<p class=""nome-canto"">11 Addio di Gesù</p><p class=""canto-testo"">1. Resto qui con voi ancora un poco,</br>cercherete Me, ma sarà invano.</br>Vado da mio Padre e poi ritorno;</br>regni solo amore in mezzo a voi:</br>questo è il segno che voi siete miei.</p><p class=""canto-testo"">2. Non vi lascio soli in questo mondo,</br>pregherò che il Padre mandi a voi</br>il mio spirito consolatore.</br>Lascio a voi la pace che ho nel cuore,</br>questa pace non può darvi il mondo.</p><p class=""canto-testo"">3. Sono Io la vite e voi i tralci:</br>ogni tralcio in Me che porta frutto,</br>vien potato e poi frutta di più.</br>E vi uccideranno a causa mia.</br>State sempre uniti nel mio amore.</p><p class=""canto-testo"">4. Quelli che mi hai dato custodisci,</br>Padre Santo, fa che siano uno,</br>affinché il mondo riconosca</br>che mi hai mandato sulla terra,</br>e li hai amati come ami Me.</p>"
12;"Adoro Te";"<p class=""nome-canto"">12 Adoro Te</p><p class=""canto-testo"">1. Sei qui davanti a me, o mio Signore,</br>sei in questa brezza che ristora il cuore.</br>Roveto che mai si consumerà,</br>presenza che riempie l'anima.</p><p class=""canto-ritornello"">Adoro Te, fonte della vita,</br>adoro Te, Trinità infinita.</br>I miei calzari leverò su questo santo suolo,</br>alla presenza tua mi prostrerò.</p><p class=""canto-testo"">2. Sei qui davanti a me, o mio Signore,</br>nella tua grazia trovo la mia gioia.</br>Io lodo, ringrazio e prego perché</br>Il mondo ritorni a vivere in Te.</p><p class=""canto-ritornello"">Adoro Te, fonte della vita,</br>adoro Te, Trinità infinita.</br>I miei calzari leverò su questo santo suolo,</br>alla presenza tua mi prostrerò.</p>"
13;"Albero di vita";"<p class=""nome-canto"">13 Albero di vita</p><p class=""canto-testo"">1. È albero di vita piantato in questa terra,</br>la croce tua Signore è un legno verde e forte.</br>E vita e morte si affrontano, nel cuore del tuo essere,</br>a nuova vita resusciti: la croce tua dà frutti.</p><p class=""canto-testo"">2. È legno di speranza alzato nel deserto,</br>la croce tua, Signore, è il gesto del perdono.</br>E Dio e l'uomo si legano nel patto dell'amore,</br>e nuove vie si aprono si compie la promessa.</p><p class=""canto-testo"">3. È arca di salvezza nel mare della morte,</br>la croce tua, Signore, è porta del tuo regno.</br>E cielo e terra s'incontrano, nel dono della pace</br>e soffia in noi il tuo Spirito, respira nuovo il mondo.</p><p class=""canto-testo"">4. È segno della gloria del giorno che già viene,</br>la croce tua, Signore fa chiaro l'universo.</br>E luce e tenebre lottano nell'intimo dell'uomo,</br>la croce tua adorabile è stella al mio cammino.</p>"
14;"All'acqua della fonte";"<p class=""nome-canto"">14 All'acqua della fonte</p><p class=""canto-testo"">1. All'acqua della fonte la cerva anela ardente.</br>Veniamo a Te, Signore, a spegnere la sete.</br>Gesù sorgente viva, di grazia e di salvezza,</br>fluente eterna vita.</p><p class=""canto-testo"">2. Gesù, Tu sei la vite di grappoli splendente;</br>ai tralci dai la linfa, trasfondi in noi la vita.</br>Uniti in Te, Signore, nell'anima e nel corpo</br>daremo frutti eterni.</p><p class=""canto-testo"">3. Raccolti al tuo banchetto lodiamo un solo Padre:</br>preganti nel tuo nome Iddio tra noi dimora.</br>Uniti nella Chiesa, elette pietre vive</br>per la città celeste.</p><p class=""canto-testo"">4. Il tuo convito santo, Signore è tutto un dono;</br>per tuoi ci riterranno se a tutti ci doniamo.</br>Non ci divida l'odio, la carità ci unisca</br>con vincoli di pace.</p>"
15;"Alleluia, acclamiamo a Te";"<p class=""nome-canto"">15 Alleluia, acclamiamo a Te</p><p class=""canto-ritornello"">Alleluia! Acclamiamo a Te.</br>Alleluia! Acclamiamo a Te.</br>Alleluia! Parola viva di Dio.</br>Alleluia! Acclamiamo a Te.</br>Alleluia! Acclamiamo a Te.</br>Alleluia! Signore Dio.</br>Alleluia! Vangelo vivo, Gesù.</p><p class=""canto-testo"">1. La tua parola è verità, è spirito di vita.</br>Sapienza ineffabile, divina luce.</p><p class=""canto-ritornello"">Alleluia! Acclamiamo a Te.</br>Alleluia! Acclamiamo a Te.</br>Alleluia! Parola viva di Dio.</br>Alleluia! Acclamiamo a Te.</br>Alleluia! Acclamiamo a Te.</br>Alleluia! Signore Dio.</br>Alleluia! Vangelo vivo, Gesù.</p><p class=""canto-testo"">2. La tua parola libera, dà gioia e vigore.</br>È come fuoco vivo in noi che accende il mondo.</p><p class=""canto-ritornello"">Alleluia! Acclamiamo a Te.</br>Alleluia! Acclamiamo a Te.</br>Alleluia! Parola viva di Dio.</br>Alleluia! Acclamiamo a Te.</br>Alleluia! Acclamiamo a Te.</br>Alleluia! Signore Dio.</br>Alleluia! Vangelo vivo, Gesù.</p>"
16;"Alleluia (Cantate al Signore)";"<p class=""nome-canto"">16 Alleluia (Cantate al Signore)</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia.</p><p class=""canto-testo"">1. Cantate al Signore un cantico nuovo,</br>tutta la terra canti al Signore.</br>Per tutta la terra s'è accesa una luce,</br>uomini nuovi cantano in cor:</br>un cantico nuovo di gioia infinita,</br>un canto d'amore a Dio fra noi. Alleluia.</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia.</p><p class=""canto-testo"">2. Un coro di voci s'innalza al Signore,</br>re della vita, luce del mondo.</br>Discende dal cielo un fuoco d'amore,</br>il Paradiso canta con noi:</br>un cantico nuovo di gioia infinita,</br>un canto d'amore a Dio fra noi. Alleluia.</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia.</p>"
17;"Alleluia (Dio ha visitato il suo popolo)";"<p class=""nome-canto"">17 Alleluia (Dio ha visitato il suo popolo)</p><p class=""canto-ritornello"">Alleluia, alleluia! Alleluia, alleluia!</br>Dio ha visitato il suo popolo!</br>Ha fatto meraviglie per noi. Alleluia!</p><p class=""canto-testo"">1. Gli occhi dei ciechi vedono la luce.</br>Gli orecchi sordi odono la voce:</br>Dio ha fatto meraviglie per noi,</br>Dio ha fatto meraviglie per noi!</p><p class=""canto-ritornello"">Alleluia, alleluia! Alleluia, alleluia!</br>Dio ha visitato il suo popolo!</br>Ha fatto meraviglie per noi. Alleluia!</p><p class=""canto-testo"">2. I cuori spenti vibrano d'amore.</br>I volti tristi splendono di gioia:</br>Dio ha fatto meraviglie per noi,</br>Dio ha fatto meraviglie per noi!</p><p class=""canto-ritornello"">Alleluia, alleluia! Alleluia, alleluia!</br>Dio ha visitato il suo popolo!</br>Ha fatto meraviglie per noi. Alleluia!</p><p class=""canto-testo"">3. Le bocche mute cantano in coro,</br>le mani stanche ritmano la lode:</br>Dio ha fatto meraviglie per noi,</br>Dio ha fatto meraviglie per noi!</p><p class=""canto-ritornello"">Alleluia, alleluia! Alleluia, alleluia!</br>Dio ha visitato il suo popolo!</br>Ha fatto meraviglie per noi. Alleluia!</p><p class=""canto-testo"">4. Il lieto annuncio ai poveri è portato.</br>La vera pace ai popoli è donata:</br>Dio ha fatto meraviglie per noi,</br>Dio ha fatto meraviglie per noi!</p><p class=""canto-ritornello"">Alleluia, alleluia! Alleluia, alleluia!</br>Dio ha visitato il suo popolo!</br>Ha fatto meraviglie per noi. Alleluia!</p>"
18;"Alleluia (È risorto)";"<p class=""nome-canto"">18 Alleluia (È risorto)</p><p class=""canto-ritornello"">Alleluia, alleluia, alleluia. Alleluia.</br>È risorto il Signor.</p><p class=""canto-testo"">1. È risorto per noi il Salvatore.</br>Vive nella sua Chiesa, porta gli uomini alla pace.</p><p class=""canto-ritornello"">Alleluia, alleluia, alleluia. Alleluia.</br>È risorto il Signor.</p><p class=""canto-testo"">2. È risorto per noi il Salvatore.</br>In Lui risorgerà, ogni uomo dalla terra.</p><p class=""canto-ritornello"">Alleluia, alleluia, alleluia. Alleluia.</br>È risorto il Signor.</p>"
19;"Alleluia (Ed oggi ancora)";"<p class=""nome-canto"">19 Alleluia (Ed oggi ancora)</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia. (2 volte)</p><p class=""canto-testo"">Ed oggi ancora, mio Signore ascolterò la tua parola,</br>che mi guida nel cammino della vita.</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia. (2 volte)</p>"
20;"Alleluia (Irlandese)";"<p class=""nome-canto"">20 Alleluia (Irlandese)</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia.</p><p class=""canto-testo"">1. Cantate al Signore con gioia,</br>grandi prodigi ha compiuto,</br>cantatelo in tutta la terra.</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia.</p><p class=""canto-testo"">2. Agli occhi di tutte le genti</br>mostra la sua grandezza,</br>rivela la sua giustizia.</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia.</p><p class=""canto-testo"">3. Fedele è il Signore per sempre,</br>buono e misericordioso:</br>lodate il suo nome in eterno.</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia.</p><p class=""canto-testo"">4. Tua, o Padre la gloria!</br>Tutta la terra ti acclama!</br>Del tuo Spirito è ricolmo l'uomo.</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia.</p><p class=""canto-testo"">5. Forte è la tua parola,</br>penetra come una spada:</br>ci trasformerà e vivremo nella luce!</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia.</p><p class=""canto-testo"">6. Venga lo Spirito Santo,</br>fuoco che accende la terra,</br>nella libertà si rinnovi il nostro cuore.</p><p class=""canto-ritornello"">Alleluia, alleluia. Alleluia, alleluia.</p>"
